Event ID,Event Name,Date,City,State,Finishers,Males,Females,Male Win,Female Win,Average Time,Time STD
3226130622,Rock 'n' Roll Seattle Marathon,"June 22, 2013",Seattle,WA,2355,1326,1029,2:29:53,2:52:40,4:39:53,0:51:24
3226120623,Rock 'n' Roll Seattle Marathon,"June 23, 2012",Seattle,WA,3089,1655,1434,2:31:47,2:41:38,4:37:30,0:49:19
3226110625,Rock 'n' Roll Seattle Marathon,"June 25, 2011",Seattle,WA,3500,1874,1626,2:24:50,2:50:17,4:35:43,0:50:06
3226100626,Rock 'n' Roll Seattle Marathon,"June 26, 2010",Seattle,WA,4080,2061,2019,2:18:19,2:43:05,4:41:30,0:52:57
3226090627,Rock 'n' Roll Seattle Marathon,"June 27, 2009",Seattle,WA,5602,2543,3059,2:18:17,2:38:37,4:45:15,0:56:42
521210919,San Francisco Marathon,"September 19, 2021",San Francisco,CA,3181,2297,884,2:20:42,2:34:25,4:37:49,0:51:10
521190728,San Francisco Marathon,"July 28, 2019",San Francisco,CA,5090,3522,1568,2:25:25,2:47:01,4:41:26,0:53:02
521180729,San Francisco Marathon,"July 29, 2018",San Francisco,CA,5242,3545,1697,2:27:56,2:54:09,4:34:19,0:50:04
521170723,San Francisco Marathon,"July 23, 2017",San Francisco,CA,6511,4172,2339,2:28:23,2:52:49,4:45:30,0:52:01
521160731,San Francisco Marathon,"July 31, 2016",San Francisco,CA,6258,4122,2136,2:30:42,2:49:51,4:41:50,0:53:04
521150726,San Francisco Marathon,"July 26, 2015",San Francisco,CA,6025,3987,2038,2:26:22,2:49:42,4:39:07,0:50:37
521140727,San Francisco Marathon,"July 27, 2014",San Francisco,CA,6625,4314,2311,2:32:17,2:47:51,4:41:53,0:51:53
521130616,San Francisco Marathon,"June 16, 2013",San Francisco,CA,5763,3867,1896,2:25:15,2:42:26,4:34:11,0:49:21
521120729,San Francisco Marathon,"July 29, 2012",San Francisco,CA,6440,4306,2134,2:26:44,2:44:02,4:32:45,0:48:47
521110731,San Francisco Marathon,"July 31, 2011",San Francisco,CA,5999,3998,2001,2:27:06,2:50:24,4:30:37,1:07:24
521100725,San Francisco Marathon,"July 25, 2010",San Francisco,CA,5942,3891,2051,2:23:29,2:51:55,4:31:30,0:47:28
521090726,San Francisco Marathon,"July 26, 2009",San Francisco,CA,5036,3326,1710,2:26:32,2:46:34,4:31:48,0:47:39
521080803,San Francisco Marathon,"August 3, 2008",San Francisco,CA,4354,2874,1480,2:31:52,2:52:33,4:33:06,0:49:08
521070729,San Francisco Marathon,"July 29, 2007",San Francisco,CA,4250,2805,1445,2:25:57,2:43:41,4:31:30,0:47:01
521060730,San Francisco Marathon,"July 30, 2006",San Francisco,CA,4021,2693,1328,2:26:46,2:54:55,4:34:31,0:48:56
521050731,San Francisco Marathon,"July 31, 2005",San Francisco,CA,4873,3125,1748,2:31:57,2:56:55,4:35:51,0:51:55
521040801,San Francisco Marathon,"August 1, 2004",San Francisco,CA,2665,1755,910,2:33:41,2:50:21,4:32:22,0:50:49
521030727,San Francisco Marathon,"July 27, 2003",San Francisco,CA,1891,1267,624,2:35:08,3:01:56,4:23:57,0:47:45
521020728,San Francisco Marathon,"July 28, 2002",San Francisco,CA,1920,1311,609,2:31:46,2:50:11,4:21:42,0:44:25
521010708,San Francisco Marathon,"July 8, 2001",San Francisco,CA,2249,1474,775,2:30:53,3:12:10,4:23:40,0:42:39
521000709,San Francisco Marathon,"July 9, 2000",San Francisco,CA,2345,1502,843,2:32:49,3:08:15,4:23:14,0:40:57
27211024,Rock 'n' Roll San Diego Marathon,"October 24, 2021",San Diego,CA,2558,1678,880,2:41:45,2:50:30,4:50:04,0:58:11
27190602,Rock 'n' Roll San Diego Marathon,"June 2, 2019",San Diego,CA,3574,2215,1359,2:25:50,2:57:49,4:47:26,0:57:20
27180603,Rock 'n' Roll San Diego Marathon,"June 3, 2018",San Diego,CA,4017,2420,1597,2:33:25,2:55:22,5:06:48,1:03:18
27170604,Rock 'n' Roll San Diego Marathon,"June 4, 2017",San Diego,CA,5321,3015,2306,2:21:17,2:48:47,4:57:36,1:00:01
27160605,Rock 'n' Roll San Diego Marathon,"June 5, 2016",San Diego,CA,5793,3195,2598,2:26:39,2:56:16,4:54:30,0:57:40
27150531,Rock 'n' Roll San Diego Marathon,"May 31, 2015",San Diego,CA,4218,2426,1792,2:37:02,2:41:39,4:45:24,0:54:51
27140601,Rock 'n' Roll San Diego Marathon,"June 1, 2014",San Diego,CA,5285,3061,2224,2:23:50,2:44:27,4:48:19,0:53:12
27130602,Rock 'n' Roll San Diego Marathon,"June 2, 2013",San Diego,CA,6542,3762,2780,2:15:00,2:35:05,4:40:47,0:53:56
27120603,Rock 'n' Roll San Diego Marathon,"June 3, 2012",San Diego,CA,7086,3711,3375,2:10:03,2:27:44,4:44:54,0:56:07
27110605,Rock 'n' Roll San Diego Marathon,"June 5, 2011",San Diego,CA,8267,4255,4012,2:11:18,2:23:31,4:51:13,0:59:22
27100606,Rock 'n' Roll San Diego Marathon,"June 6, 2010",San Diego,CA,10625,5120,5505,2:09:56,2:27:38,4:57:30,0:57:51
27090531,Rock 'n' Roll San Diego Marathon,"May 31, 2009",San Diego,CA,13291,6828,6463,2:11:16,2:27:37,4:52:23,0:59:14
27080601,Rock 'n' Roll San Diego Marathon,"June 1, 2008",San Diego,CA,16373,7948,8425,2:10:07,2:28:23,5:01:08,1:01:01
27070603,Rock 'n' Roll San Diego Marathon,"June 3, 2007",San Diego,CA,15958,7729,8229,2:09:04,2:32:40,4:59:11,1:02:40
27060604,Rock 'n' Roll San Diego Marathon,"June 4, 2006",San Diego,CA,15771,7357,8414,2:10:08,2:28:21,5:01:04,1:03:18
27050605,Rock 'n' Roll San Diego Marathon,"June 5, 2005",San Diego,CA,15934,7467,8467,2:09:17,2:30:55,5:00:33,1:04:12
27040606,Rock 'n' Roll San Diego Marathon,"June 6, 2004",San Diego,CA,16369,7312,9057,2:11:04,2:29:36,5:01:31,1:02:50
27030601,Rock 'n' Roll San Diego Marathon,"June 1, 2003",San Diego,CA,16185,7423,8762,2:09:38,2:29:52,4:57:20,1:05:02
